Single Path,DmodK,Proposal
448.944,380.1217,298.4592
452.245,381.482,291.9446
456.0824,383.6194,290.9936
453.2903,378.5218,293.6286
451.8819,377.0819,298.6759
455.4336,379.591,294.9338
454.2405,380.9319,295.2115
456.8909,383.7503,292.741
457.309,383.1161,298.6951
452.8507,380.5926,292.1858
